account_id,r,rd
283545554,1281.1565473210514,147.72855669745485
329076390,1216.254014306294,222.04707078821366
138535219,1206.263390085813,188.0027241460492
493967542,1192.4981888025336,289.3294199176971
185202677,1599.1191989711456,137.7087960545427
182322692,1596.7967877199706,145.90581239941966
176923146,1431.3024336110866,157.29431675530185
908940454,1428.0810598113985,157.2617422510479
417512732,1354.969287889656,173.57782221230772
133958007,1241.9409737362307,228.12091634338844
24045849,1325.3402899230616,122.96465840064124
165110440,1555.1222201557803,108.7013518827481
1256269806,1325.3402899230616,122.96465840064124
214853734,1494.4180490523693,108.36274508971525
15587389,1204.290886881568,236.66975179511388
1044002267,2528.3366352079533,107.56336664537072
165571447,2038.2454161429307,138.01376064584446
390015464,1661.964388439543,126.68506690816557
888955351,1644.154376630904,143.55356686989137
437492432,1680.6599837703277,119.10633410397276
1171243748,1748.5742852629007,134.968570272222
248180032,1614.1735581831224,134.7240970652619
352545711,2016.9866566776614,122.21995834940607
1031547092,1692.9445331516577,147.77554630935794
425588742,1629.7891914555005,175.28474376556008
186837494,1303.6511766994238,204.99754296564637
1673586483,1599.1367246172204,182.04377097618416
138177198,1573.8913664142935,188.24322638290332
191290281,1275.2551012019992,211.29723046087724
100758751,1303.6516593305823,204.99743861350288
117089283,1629.2270416592744,147.03398517456498
399920568,1629.7656540592193,147.01603995072045
392385140,1628.430660869782,147.03109129337338
86822085,1526.143508655297,145.57291794545878
107579895,1473.419684293304,177.26488944967133
363758022,2164.3023302779125,110.5286576438407
1026694469,1950.0693558170778,98.1439430308124
352623024,1626.1250092858304,145.04883136687303
85696663,1755.743514658281,109.8107551158711
125995177,1571.674671992848,188.81584395480664
353498499,1561.2417014587893,114.21563665912105
218367241,2093.811702680433,156.08919615609204
145331311,1560.4436714047033,139.78644308499662
162274034,1325.8873387533692,154.52671902138934
110759067,1357.9089428486964,141.75022278007435
119898344,1592.4938813079837,181.19911158067944
103045129,1307.093318216785,326.6808590383109
150862738,1334.287161617105,219.86611230243247
212560917,1416.6493313654598,174.85736494180085
341678201,1348.224826558865,221.360515732284
343084576,2051.4745444642303,98.4934336287306
100471531,2114.9483806453873,151.92353632156747
392169957,1882.9037572782768,151.66908468992276
